Variable,Importance
Age,0.19644991182972574
BMI,0.09223076102386994
Drink_nb_PerMonth,0.06407595995440678
SleepWeekdayHr,0.04935590901759371
TotalHousehold,0.048067701513025966
IncomeRanges,0.047317690378057685
Vegetables2,0.04281647549481916
Fruit2,0.04185822705620461
Education,0.039580590284372025
TimesStrengthTraining,0.037574966373526066
GeneralHealth,0.03605603017607359
TimesSunburned,0.032347044490996846
MedConditions_HighBP,0.02808814736935084
Nervous,0.02646089639053174
ChildrenInHH,0.022777975476779774
DiffPayMedBills,0.02196689683312436
FamilyEverHadCancer2,0.020895475265965104
CutSkipMeals2,0.019840366002723885
HealthLimits_Pain,0.018295303456489054
Birthcountry_White,0.016122335936740773
MedConditions_HeartCondition,0.014214062995299946
BirthSex_1.0,0.012900872310698237
MedConditions_Depression,0.012696597118653268
MedConditions_LungDisease,0.012536064023260997
MedConditions_Diabetes,0.010714941588376808
BirthSex_2.0,0.01060032408155049
SmokeNow,0.009581328136409604
Birthcountry_Black,0.007104829442798378
Birthcountry_Chinese,0.001843055054196762
Birthcountry_Filipino,0.0015180267588431647
Birthcountry_OthPacIsl,0.0011827736583658712
Birthcountry_Mexican,0.0008557307020656358
Birthcountry_Vietnamese,0.0006248934581968442
Birthcountry_AsInd,0.0005428572295565722
Birthcountry_PuertoRican,0.00029214534280692987
Birthcountry_OthAsian,0.0002760443987215336
Birthcountry_Korean,0.0002128545705433957
Birthcountry_OthHisp,0.00012393480527788173
